Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Industry,Business Description,Company Website,Started in,Number of Presenters,Pitchers Average Age,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,EBITDA,Cash Burn,SKUs,Has Patents,Bootstrapped,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of Sharks in Deal,Deal Has Conditions,Royalty Deal,Advisory Shares Equity,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Ashneer Investment Amount,Ashneer Investment Equity,Ashneer Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Amit Present,Ashneer Present,Guest Present,Ghazal Investment Amount,Ghazal Investment Equity,Ghazal Debt Amount,Ghazal Present,Vikas Investment Amount,Vikas Investment Equity,Vikas Debt Amount,Vikas Present,Ritesh Investment Amount,Ritesh Investment Equity,Ritesh Debt Amount,Ritesh Present,Azhar Investment Amount,Azhar Investment Equity,Azhar Debt Amount,Azhar Present,Radhika Investment Amount,Radhika Investment Equity,Radhika Debt Amount,Radhika Present,Deepinder Investment Amount,Deepinder Investment Equity,Deepinder Debt Amount,Deepinder Present,Ronnie Investment Amount,Ronnie Investment Equity,Ronnie Debt Amount,Ronnie Present,Varun Investment Amount,Varun Investment Equity,Varun Debt Amount,Varun Present
1,JhaJiAchaar,4,11,20-Dec-21,4-Feb-22,23-Dec-21,Entrepreneurship Ki Wave,Food,Pickle,https://www.jhajistore.com/,2021.0,2,Old,Darbhanga,Bihar,,5.0,18.0,,,,,,,50.0,10.0,500.0,1,1.0,56.6,5.62,,,1007.0,2.0,,,,28.3,2.81,,28.3,2.81,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Bummer,4,12,20-Dec-21,4-Feb-22,23-Dec-21,Entrepreneurship Ki Wave,Beauty/Fashion,Underwear,https://bummer.in/,2020.0,1,Young,Ahmedabad,Gujarat,36.0,15.0,70.0,,,,,,,75.0,4.0,1875.0,1,1.0,75.0,7.5,,,1000.0,2.0,,,,37.5,3.75,,,,,,,,37.5,3.75,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,RevampMoto,5,13,20-Dec-21,4-Feb-22,24-Dec-21,Hunt For Interesting Business,Vehicles/Electrical Vehicles,E-Bike Mitra bud-e RM,https://www.revampmoto.in/,2021.0,3,Young,Nashik,Maharashtra,,0.01,,,,,,,,100.0,1.0,10000.0,1,1.0,100.0,1.5,,,6667.0,2.0,,,,,,,,,,50.0,0.75,,50.0,0.75,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,HungryHead,5,14,20-Dec-21,4-Feb-22,24-Dec-21,Hunt For Interesting Business,Food,Restaurant serving 80 types of Maggi,http://www.hungryhead.co.in/,2013.0,2,Middle,Mumbai,Maharashtra,,5.5,,,,,80.0,,,50.0,5.0,1000.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ShrawaniEngineers,5,15,20-Dec-21,4-Feb-22,24-Dec-21,Hunt For Interesting Business,Beauty/Fashion,Belly Button Shaper,https://www.shrawaniengineers.com/,2019.0,2,Middle,Nagpur,Maharashtra,50.0,,,,,,,,,20.0,10.0,200.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SkippiIcePops,6,16,20-Dec-21,4-Feb-22,27-Dec-21,"New Week, New Ideas",Food,Ice-Pops,https://skippi.in/,2021.0,2,Middle,Hyderabad,Telangana,,7.5,,,,,,yes,,45.0,5.0,900.0,1,1.0,100.0,15.0,,,667.0,5.0,,,,20.0,3.0,,20.0,3.0,,20.0,3.0,,20.0,3.0,,,,,,,,20.0,3.0,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Menstrupedia,6,17,20-Dec-21,4-Feb-22,27-Dec-21,"New Week, New Ideas",Education,Menstrual Awareness Comic,https://www.menstrupedia.com/,2012.0,2,Middle,Ahmedabad,Gujarat,115.0,,27.0,,,,,,,50.0,10.0,500.0,1,1.0,50.0,20.0,,,250.0,1.0,,,,50.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Hecoll,6,18,20-Dec-21,4-Feb-22,27-Dec-21,"New Week, New Ideas",Beauty/Fashion,Pollution Resistant Fabric - Healthy Cover For All,https://hecoll.com/,2019.0,1,Middle,Hyderabad,Telangana,107.0,,,,,,,,,100.0,1.0,10000.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,RaisingSuperstars,7,19,20-Dec-21,4-Feb-22,28-Dec-21,A Never Give Up Spirit,Education,Child Development App,https://raisingsuperstars.com/india-page,2020.0,2,Middle,Gurgaon,Haryana,1300.0,,,,,,,,,100.0,2.0,5000.0,1,1.0,100.0,4.0,,,2500.0,2.0,,,,,,,,,,,,,50.0,2.0,,,,,,,,50.0,2.0,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Torch-it,7,20,20-Dec-21,4-Feb-22,28-Dec-21,A Never Give Up Spirit,Education,Gadgets for visually impaired people,https://mytorchit.com/,2018.0,1,Middle,Ahmedabad,Gujarat,260.0,1.0,,,,,,yes,,75.0,1.0,7500.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kavach,7,21,20-Dec-21,4-Feb-22,28-Dec-21,A Never Give Up Spirit,Education,Report bullying incidents,https://antibullyingsquad.com/,2018.0,2,Young,Gurgaon,Haryana,,,,,,,,,,5.0,10.0,50.0,1,1.0,5.0,10.0,,,50.0,2.0,,,,,,,,,,2.5,5.0,,2.5,5.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,LaKheerDeli,7,22,20-Dec-21,4-Feb-22,28-Dec-21,A Never Give Up Spirit,Food,Kheer in variety of flavors,https://lakheerdeli.com/,2018.0,3,Middle,Pune,Maharashtra,,6.0,,,,,9.0,,,50.0,7.5,667.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BeyondSnack,8,23,20-Dec-21,4-Feb-22,29-Dec-21,Shark Ko Impress Karne Wale Ideas,Food,Kerala Banana Chips,https://www.beyondsnack.in/,2020.0,1,Middle,Thiruvananthapuram,Kerala,60.0,20.6,51.0,,,,,,,50.0,2.5,2000.0,1,1.0,50.0,2.5,,,2000.0,2.0,,,,,,,,,,,,,25.0,1.25,,,,,,,,25.0,1.25,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,VivalyfInnovations,8,24,20-Dec-21,4-Feb-22,29-Dec-21,Shark Ko Impress Karne Wale Ideas,Medical/Health,Easy Life Prickless Diabetes Testing Machine,https://vivalyf.in/,2021.0,2,Young,Hyderabad,Telangana,0.0,,,,,,,,,56.0,7.5,747.0,1,1.0,56.0,33.33,,,168.0,2.0,,,,,,,,,,28.0,16.66,,,,,28.0,16.66,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MotionBreeze,8,25,20-Dec-21,4-Feb-22,29-Dec-21,Shark Ko Impress Karne Wale Ideas,Vehicles/Electrical Vehicles,Smart Electric Motorcycle,https://www.motionautomotive.in/,2018.0,4,Middle,Vadodara,Gujarat,0.0,,,,,,,yes,,30.0,3.0,1000.0,1,1.0,30.0,6.0,,,500.0,1.0,,,,,,,,,,,,,,,,,,,,,,30.0,6.0,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Altor,9,26,20-Dec-21,4-Feb-22,30-Dec-21,Defining Innovations,Manufacturing,Smart Helmets,https://www.altorsmarthelmet.com/,2019.0,4,Young,Kolkata,West Bengal,,,,,,,,,,50.0,5.0,1000.0,1,1.0,50.0,7.0,,,714.0,2.0,,,,25.0,3.5,,,,,,,,25.0,3.5,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ariro,9,27,20-Dec-21,4-Feb-22,30-Dec-21,Defining Innovations,Manufacturing,Wooden Toys,https://arirotoys.com/,2020.0,2,Young,Chennai,Tamil Nadu,300.0,25.0,50.0,,,,,,,50.0,2.5,2000.0,1,1.0,50.0,10.0,,,500.0,2.0,,,,,,,,,,,,,25.0,5.0,,25.0,5.0,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,KabiraHandmad,9,28,20-Dec-21,4-Feb-22,30-Dec-21,Defining Innovations,Food,Healthy Edible Oils dairy products spices flour,https://www.kabirafoods.com/,1998.0,2,Middle,Jaipur,Rajasthan,,160.0,3.0,1.0,,,,,,100.0,5.0,2000.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Nuutjob,10,29,20-Dec-21,4-Feb-22,31-Dec-21,Passion About Entrepreneurship,Beauty/Fashion,Male Intimate Hygiene deo spray,https://nuutjob.com/,2021.0,2,Young,Ahmedabad,Gujarat,,0.002,70.0,,,,,,,25.0,5.0,500.0,1,1.0,25.0,20.0,,,125.0,3.0,,,,8.33,6.66,,,,,,,,8.33,6.66,,8.33,6.66,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Meatyour,10,30,20-Dec-21,4-Feb-22,31-Dec-21,Passion About Entrepreneurship,Food,Eggs,https://meatyour.com/,2020.0,3,Middle,Pune,Maharashtra,130.0,2.8,30.0,,,,,,,30.0,5.0,600.0,1,1.0,30.0,20.0,,,150.0,3.0,yes,,,,,,,,,10.0,6.66,,10.0,6.66,,10.0,6.66,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EventBeep,10,31,20-Dec-21,4-Feb-22,31-Dec-21,Passion About Entrepreneurship,Education,Student Community App EdTech,https://www.eventbeep.com/,2019.0,3,Young,Pune,Maharashtra,120.0,,,,,,,,,30.0,2.0,1500.0,1,1.0,30.0,3.0,,,1000.0,3.0,,,,,,,,,,,,,10.0,1.0,,10.0,1.0,,,,,10.0,1.0,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gopal's56,11,32,20-Dec-21,4-Feb-22,3-Jan-22,Investment Paane Ka Sapna,Food,Fiber Ice Cream,https://www.gopals56.in/,2014.0,1,Middle,Delhi,Delhi,80.0,33.0,21.0,,,,,,,30000.0,25.0,120000.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARRCOATSurfaceTextures,11,33,20-Dec-21,4-Feb-22,3-Jan-22,Investment Paane Ka Sapna,Manufacturing,Wall Building Surface Textures,https://www.arrcoat.com/,2019.0,3,Middle,Delhi,Delhi,,6.0,,20.0,,,,,,50.0,5.0,1000.0,1,1.0,50.0,15.0,,,333.0,1.0,yes,,,,,,,,,50.0,15.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Farda,11,34,20-Dec-21,4-Feb-22,3-Jan-22,Investment Paane Ka Sapna,Beauty/Fashion,Customised Streetwear,https://fardaclothing.com/,2021.0,2,Young,Nagpur,Maharashtra,,0.32,115.0,,,,,,,30.0,10.0,300.0,1,1.0,30.0,20.0,,,150.0,2.0,,,,15.0,10.0,,,,,,,,15.0,10.0,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Auli,12,35,20-Dec-21,4-Feb-22,4-Jan-22,Ek Idea Aur Uske Do Sides,Beauty/Fashion,Ayurvedic Products Skincare Lifestyle,https://aulilifestyle.com/,2017.0,1,Middle,Kolkata,West Bengal,250.0,16.0,80.0,10.0,,,,,,75.0,4.0,1875.0,1,1.0,75.0,15.0,,,500.0,1.0,,,,75.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SweeDesi,12,36,20-Dec-21,4-Feb-22,4-Jan-22,Ek Idea Aur Uske Do Sides,Food,Indian Sweets Online,https://www.sweedesi.com/,2018.0,2,Middle,Pune,Maharashtra,,,,,,,,,,40.0,3.0,1333.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,LOKA,12,37,20-Dec-21,4-Feb-22,4-Jan-22,Ek Idea Aur Uske Do Sides,Technology/Software,Metaverse App,https://www.lokaworld.app/,2020.0,1,Young,Delhi,Delhi,,,,,,,,,,40.0,5.0,800.0,1,1.0,40.0,24.0,,,167.0,3.0,,,,,,,,,,13.33,8.0,,13.33,8.0,,13.33,8.0,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Annie,13,38,20-Dec-21,4-Feb-22,5-Jan-22,Ideas By Young Entrepreneurs,Education,Thinkerbell labs Braille Literary Device,https://www.thinkerbelllabs.com/annie,2016.0,4,Young,Bangalore,Karnataka,500.0,4.0,50.0,,,,,,,30.0,0.5,6000.0,1,1.0,105.0,3.0,,,3500.0,3.0,,,,35.0,1.0,,,,,35.0,1.0,,,,,35.0,1.0,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Carragreen,13,39,20-Dec-21,4-Feb-22,5-Jan-22,Ideas By Young Entrepreneurs,Manufacturing,Eco-Friendly boxes,https://carragreen.com/,2018.0,2,Middle,Indore,Madhya Pradesh,,,,,,,,yes,,50.0,10.0,500.0,1,1.0,50.0,20.0,,,250.0,2.0,,,,,,,,,,25.0,10.0,,,,,25.0,10.0,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TheYarnBazaar,13,40,20-Dec-21,4-Feb-22,5-Jan-22,Ideas By Young Entrepreneurs,Manufacturing,Yarn-Trading App Online Marketplace for Yarn,https://theyarnbazaar.com/,2019.0,1,Middle,Mumbai,Maharashtra,180.0,,,,,,,,,50.0,2.0,2500.0,1,1.0,100.0,10.0,,,1000.0,4.0,,,,,,,,,,25.0,2.5,,25.0,2.5,,25.0,2.5,,,,,25.0,2.5,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TheRenalProject,14,41,20-Dec-21,4-Feb-22,6-Jan-22,Naye Aur Nayab Pitchers,Medical/Health,Home Dialysis Treatment,https://www.therenalproject.com/,2019.0,1,Middle,Mumbai,Maharashtra,300.0,,,,,,,,,100.0,3.0,3333.0,1,1.0,100.0,6.0,,,1667.0,2.0,,,,50.0,3.0,,,,,,,,50.0,3.0,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MorrikoPureFoods,14,42,20-Dec-21,4-Feb-22,6-Jan-22,Naye Aur Nayab Pitchers,Food,Healthy Food Snacks Kamdhenu foods,https://morrikopurefoods.com/,2018.0,3,Middle,Valsad,Gujarat,,16.0,,,,,,,,100.0,3.0,3333.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GoodGoodPiggy,14,43,20-Dec-21,4-Feb-22,6-Jan-22,Naye Aur Nayab Pitchers,Technology/Software,Digital Piggy Bank,https://goodgoodpiggy.com/,2021.0,2,Young,Delhi,Delhi,0.0,,,,,,,,,45.0,5.0,900.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,HammerLifestyle,15,44,20-Dec-21,4-Feb-22,7-Jan-22,It's Time To Change,Electronics,Smart Audio Products,https://hammeronline.in/,2019.0,3,Young,Panipat,Haryana,1000.0,,,,,,14.0,,,30.0,3.0,1000.0,1,1.0,100.0,40.0,,,250.0,1.0,,,,,,,,,,,,,100.0,40.0,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PNTRobotics,15,45,20-Dec-21,4-Feb-22,7-Jan-22,It's Time To Change,Technology/Software,Robotics and Automation Solutions,https://pntsolutions.in/,2021.0,2,Young,Mumbai,Maharashtra,,,,,,,,,,50.0,4.0,1250.0,1,1.0,25.0,25.0,25.0,,100.0,1.0,yes,,,,,,,,,,,,,,,25.0,25.0,25.0,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cocofit,15,46,20-Dec-21,4-Feb-22,7-Jan-22,It's Time To Change,Food,Coconut based beverage franchise,https://www.cocofit.in/,2019.0,3,Middle,Hyderabad,Telangana,100.0,,95.0,,,,,,,5e-05,5.0,0.0,1,1.0,5e-05,5.0,,,0.0,3.0,,,,1.6e-05,1.666,,,,,1.6e-05,1.666,,1.6e-05,1.666,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BambooIndia,16,47,20-Dec-21,4-Feb-22,10-Jan-22,Winning The Sharks Trust,Manufacturing,Bamboo Products,https://www.bambooindia.com/,2016.0,2,Middle,Pune,Maharashtra,380.0,20.0,,,,,,,,80.0,4.0,2000.0,1,1.0,50.0,3.5,30.0,,1429.0,2.0,,,,,,,,,,25.0,1.75,15.0,,,,,,,,,,25.0,1.75,15.0,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FlyingFur,16,48,20-Dec-21,4-Feb-22,10-Jan-22,Winning The Sharks Trust,Animal/Pets,Dog pets Hygiene,https://flyingfur.in/,2016.0,3,Middle,Delhi,Delhi,,,,,,,,,,75.0,7.0,1071.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BeyondWater,16,49,20-Dec-21,4-Feb-22,10-Jan-22,Winning The Sharks Trust,Food,Liquid Water Enhancer,https://drinkbeyond.co.in/,2020.0,2,Young,Kolkata,West Bengal,,10.0,,,,,,,,75.0,4.0,1875.0,1,1.0,75.0,15.0,,,500.0,2.0,,,,37.5,7.5,,,,,,,,37.5,7.5,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
